candidate_name,filer_url,filing_name,filing_url,date_filed,report_type,reporting_period,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,total_mcea_payments,return_of_mcea_funds,balance_beginning,balance_end,debt_balance,unitemized_total
Mark Walker,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp8tc3b9e5nt1hy5wke20q0c,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp8tc3b9e5nt1hy5wke20q0c/filings/d_01ksn2hh5ke34tae2ws74tdctx,,Mcea Seed Money,"Unbounded - May 27, 2026","$1,000.00","$1,000.00",$0.00,$998.41,,,$0.00,$1.59,$0.00,$0.00
Rafael Macias,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nbr72f0790xqcqd0hbbb3,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nbr72f0790xqcqd0hbbb3/filings/d_01ksp7k342fk1rrtwanfkjc7wa,,Mcea Seed Money,"Unbounded - May 28, 2026",$700.00,$700.00,$0.00,$696.25,,,$0.00,$3.75,$0.00,$0.00
Scott W. Cyrway,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758qbpzdr0v,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758qbpzdr0v/filings/d_01ksq90pbrew3bv9h1vramz2hd,,Mcea Campaign Finance,"April 16, 2026 - May 26, 2026",,,,$0.00,"$2,616.39",$0.00,$33.61,"$2,650.00",$0.00,
Scott W. Cyrway,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758qbpzdr0v,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758qbpzdr0v/filings/d_01kp93my8bfq8ttrp78rsagzft,,Mcea Seed Money,"January 01, 2026 - April 15, 2026","$2,200.00","$2,200.00",$0.00,"$2,966.39",,,$800.00,$33.61,$0.00,$0.00
Scott W. Cyrway,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758qbpzdr0v,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758qbpzdr0v/filings/d_01kf4f3w4qe2jtscj5zvmh6g3g,,Campaign Finance,"November 06, 2024 - December 31, 2025",$800.00,$800.00,$0.00,$0.00,,,$0.00,$800.00,$0.00,$0.00
Timothy Conrad Guerrette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbbg0eq17,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbbg0eq17/filings/d_01ksj4ypt3epjvk38r5v7rbtq7,,Mcea Campaign Finance,"April 20, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Timothy Conrad Guerrette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbbg0eq17,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbbg0eq17/filings/d_01kpkkg5feec0bf29110f6fkd3,,Mcea Seed Money,"Unbounded - April 19, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Kilton McCarthy Webb,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxm30va2j,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxm30va2j/filings/d_01ksv4eep9ep0awd5rac7b3543,,Mcea Campaign Finance,"April 24, 2026 - May 26, 2026",,,,$166.50,$629.65,$0.00,$45.35,$508.50,$0.00,
Kilton McCarthy Webb,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxm30va2j,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxm30va2j/filings/d_01kpx8509eehhb1eyvekej5w5n,,Mcea Seed Money,"Unbounded - April 23, 2026","$1,000.00","$1,000.00",$0.00,$954.65,,,$0.00,$45.35,$0.00,$0.00
Richard Marc Goldman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gjar3f9rbxk989t0wgxzh,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gjar3f9rbxk989t0wgxzh/filings/d_01ksftf4c2eds9c07pk8hk91as,,Campaign Finance,"April 22, 2026 - May 26, 2026",$0.00,$0.00,$0.00,$880.05,,,$880.05,$0.00,$0.00,$0.00
Richard Marc Goldman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gjar3f9rbxk989t0wgxzh,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gjar3f9rbxk989t0wgxzh/filings/d_01kpxhswwyfx5v5zw4ssqq8je2,,Mcea Seed Money,"Unbounded - April 30, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Michael R. Scott,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80106sfc9v,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80106sfc9v/filings/d_01ks82n6teebds6hkv3t39ds7f,,Mcea Campaign Finance,"April 16, 2026 - May 26, 2026",,,,$930.63,"$2,650.00",$0.00,$0.00,"$1,719.37",$0.00,
Michael R. Scott,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80106sfc9v,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80106sfc9v/filings/d_01kn74txxxe30s2q5etybd98nt,,Mcea Seed Money,"Unbounded - April 15, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,$0.00,$65.00
Corinna Cole,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808gp5h03v,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808gp5h03v/filings/d_01ksszfqr8ewjbq3mjtcz515a0,,Mcea Campaign Finance,"April 18, 2026 - May 26, 2026",,,,$0.00,$674.25,$0.00,$0.75,$675.00,$0.00,
Corinna Cole,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808gp5h03v,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808gp5h03v/filings/d_01kpbtc7fdf929pgpd4rvppbt1,,Mcea Seed Money,"Unbounded - April 17, 2026",$50.00,$50.00,$0.00,$49.25,,,$0.00,$0.75,$0.00,$50.00
Clifton Foster,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kpy22g9kfxfsg5vmxwpdc3py,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kpy22g9kfxfsg5vmxwpdc3py/filings/d_01kt1njvm0fae9mwq5541eqqgh,,Campaign Finance,"January 01, 2026 - May 26, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Matthew Kershaw,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn4qhkcfejvscbvc5ecegev8,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn4qhkcfejvscbvc5ecegev8/filings/d_01ksv6m13je4cby476r06hwyjw,,Campaign Finance,"January 01, 2026 - May 26, 2026",$887.24,$887.24,$0.00,$640.00,,,$0.00,$247.24,$0.00,$9.71
William J. St. Michel,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwegwgy12,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwegwgy12/filings/d_01ksmyz5qce8da0mxaf2dzb9fq,,Mcea Campaign Finance,"April 03, 2026 - May 26, 2026",,,,"$2,448.52","$3,324.00",$0.00,$1.00,$876.48,$0.00,
William J. St. Michel,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwegwgy12,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwegwgy12/filings/d_01kn7a6ynpf04a5cgzk3sm8nx4,,Mcea Seed Money,"January 01, 2026 - April 02, 2026",$175.00,$175.00,$0.00,$999.00,,,$825.00,$1.00,$0.00,$0.00
William J. St. Michel,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwegwgy12,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwegwgy12/filings/d_01kf4f3w4re01aq3f5j98k73af,,Campaign Finance,"December 01, 2025 - December 31, 2025",$825.00,$825.00,$0.00,$0.00,,,$0.00,$825.00,$0.00,$0.00
Chester B. Grover III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxhdfxmn7,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxhdfxmn7/filings/d_01ksj8xak9ey0b0febmjztv4ka,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,$663.93,$671.86,$0.00,$3.14,$11.07,$0.00,
Chester B. Grover III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxhdfxmn7,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxhdfxmn7/filings/d_01knd3yq43ecm8k0wad1x79gje,,Mcea Seed Money,"Unbounded - April 16, 2026","$1,000.00","$1,000.00",$0.00,$996.86,,,$0.00,$3.14,$0.00,$150.00
Zachary Anders Wood,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad/filings/d_01ksrmwz83f49bh98mv9gh3xbc,,Mcea Campaign Finance,"April 09, 2026 - May 26, 2026",,,,"$5,034.59","$13,200.90",$0.00,$49.10,"$8,215.41",$0.00,
Zachary Anders Wood,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad/filings/d_01ksrmr6x2e8xstgwzs4cvpwes,,Mcea Seed Money,"January 01, 2026 - April 06, 2026",$367.00,$367.00,$0.00,$444.24,,,$126.34,$49.10,$0.00,$117.00
Zachary Anders Wood,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad/filings/d_01ksp3p66xfwyrbj8xnsqs19te,,Mcea Campaign Finance,"April 09, 2026 - May 26, 2026",,,,"$5,010.49","$13,200.90",$0.00,$49.10,"$8,239.51",$0.00,
Zachary Anders Wood,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad/filings/d_01knqmpcm4e3fvbex5hjr02b8h,,Mcea Seed Money,"January 01, 2026 - April 06, 2026",$367.00,$367.00,$0.00,$444.24,,,$126.34,$49.10,$0.00,$117.00
Zachary Anders Wood,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad/filings/d_01knaev60yf92sakkgqwxmgjpk,,Mcea Seed Money,"January 01, 2026 - April 06, 2026",$367.00,$367.00,$0.00,$444.24,,,$126.34,$49.10,$0.00,$117.00
Zachary Anders Wood,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmgdab8ad/filings/d_01kf4f3w4re01aq3f5zf3s5q10,,Campaign Finance,"November 06, 2024 - December 31, 2025","$1,290.00","$1,290.00",$0.00,"$1,163.66",,,$0.00,$126.34,$0.00,$0.00
David Ulrich,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kpr44cfhfsvv1rk0cy7p2rc0,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kpr44cfhfsvv1rk0cy7p2rc0/filings/d_01kste549pfh698t2ah3x0crtr,,Campaign Finance,"January 01, 2026 - May 26, 2026",$500.00,$500.00,$0.00,$155.04,,,$0.00,$344.96,$0.00,$500.00
Shawn Saindon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkkqq7khfy08rwphmm97pj6b,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkkqq7khfy08rwphmm97pj6b/filings/d_01ksmqvhsfen0a7yc1ya6j4tz1,,Mcea Seed Money,"Unbounded - May 27, 2026","$1,000.00","$1,000.00",$0.00,$999.99,,,$0.00,$0.01,$0.00,$50.00
Braeden Webber,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh546xgjef49evnsqb3g36an,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh546xgjef49evnsqb3g36an/filings/d_01ksj6bz05faf9gfm16x85w83f,,Mcea Seed Money,"Unbounded - May 26, 2026","$1,000.00","$1,000.00",$0.00,$999.00,,,$0.00,$1.00,$601.10,$0.00
Dean LePage,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kna1kf0qeykvrk4ynzb3tgmg,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kna1kf0qeykvrk4ynzb3tgmg/filings/d_01ks2scj8mew8veqsnpghx50nr,,Mcea Campaign Finance,"May 09, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Dean LePage,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kna1kf0qeykvrk4ynzb3tgmg,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kna1kf0qeykvrk4ynzb3tgmg/filings/d_01kr48tc24frct1vhxpcny2m1r,,Mcea Seed Money,"January 01, 2026 - May 08, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
